style.css - ایجاد با هدر استاندارد","فایل style.css در ریشه قالب. شامل هدر با Theme Name, Author, Version و ...","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"index.php - حلقه اصلی وردپرس","فایل index.php پایه برای نمایش پست‌ها.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"functions.php - فقط فراخوانی includes","فایل functions.php که تنها فایل‌های پوشه includes را فراخوانی کند.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"header.php - ساختار ابتدایی هدر","فایل header.php با تگ doctype, head و بدنه ابتدایی.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"footer.php - ساختار ابتدایی فوتر","فایل footer.php برای بستن تگ‌ها.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"page.php - قالب صفحه ایستا","فایل page.php برای نمایش صفحات وردپرس.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"single.php - قالب نوشته تکی","فایل single.php برای نمایش پست‌ها.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"archive.php - قالب صفحات بایگانی","فایل archive.php برای دسته‌ها، برچسب‌ها و …","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"search.php - قالب نتایج جستجو","فایل search.php برای نمایش نتایج جستجو.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"404.php - قالب صفحه خطا","فایل 404.php برای صفحه یافت نشد.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"front-page.php - قالب صفحه اصلی","فایل front-page.php برای صفحه اصلی سایت.","Milestone 1: فایل‌های ضروری و پایه وردپرس","PHP, Core"
"screenshot.png - تصویر پیش‌نمایش قالب","تصویر 1200x900 پیکسل برای نمایش در پنل مدیریت.","Milestone 1: فایل‌های ضروری و پایه وردپرس","Image, Core"
"includes/setup.php - تنظیم پشتیبانی‌های قالب","ثابت‌ها، add_theme_support (title-tag, thumbnails, html5, logo و …)","Milestone 2: مدیریت دارایی‌ها و توابع پایه","PHP, Core"
"includes/assets.php - بارگذاری CSS/JS","enqueue استایل‌ها و اسکریپت‌های اصلی، vendors و page-specific","Milestone 2: مدیریت دارایی‌ها و توابع پایه","PHP, Performance"
"includes/menus.php - ثبت موقعیت‌های منو","ثبت منوهای primary, mobile, footer","Milestone 2: مدیریت دارایی‌ها و توابع پایه","PHP, Core"
"includes/sidebars.php - ثبت نواحی ویجت","ثبت سایدبار اصلی، فوتر و ...","Milestone 2: مدیریت دارایی‌ها و توابع پایه","PHP, Core"
"includes/helpers.php - توابع کمکی","برش متن، تاریخ، وضعیت انبار و ...","Milestone 2: مدیریت دارایی‌ها و توابع پایه","PHP, Utility"
"includes/security.php - توابع امنیتی","پاک‌سازی ورودی/خروجی، nonce و ...","Milestone 2: مدیریت دارایی‌ها و توابع پایه","PHP, Security"
"template-parts/header/top-bar.php - نوار بالایی","نمایش شماره تماس، حساب کاربری و ...","Milestone 3: بخش‌های هدر و فوتر","PHP, Template"
"template-parts/header/main-nav.php - منوی اصلی","فراخوانی wp_nav_menu برای منوی primary","Milestone 3: بخش‌های هدر و فوتر","PHP, Template"
"template-parts/header/mobile-nav.php - منوی همبرگری","منوی موبایل با کلاس‌های مخصوص","Milestone 3: بخش‌های هدر و فوتر","PHP, Template"
"template-parts/footer/footer-widgets.php - ویجت‌های فوتر","نمایش سایدبار فوتر","Milestone 3: بخش‌های هدر و فوتر","PHP, Template"
"template-parts/footer/footer-main.php - محتوای اصلی فوتر","لوگو، توضیحات و ...","Milestone 3: بخش‌های هدر و فوتر","PHP, Template"
"template-parts/footer/footer-bottom.php - کپی‌رایت و لینک‌ها","متن کپی‌رایت و لینک‌های پایانی","Milestone 3: بخش‌های هدر و فوتر","PHP, Template"
"template-parts/sections/hero.php - اسلایدر/بنر اصلی","بخش Hero صفحه اصلی","Milestone 4: بخش‌های صفحه اصلی","PHP, Template"
"template-parts/sections/features.php - ویژگی‌ها/خدمات","نمایش خدمات فروشگاه","Milestone 4: بخش‌های صفحه اصلی","PHP, Template"
"template-parts/sections/products-grid.php - شبکه محصولات","نمایش شبکه‌ای محصولات (چرخه ووکامرس)","Milestone 4: بخش‌های صفحه اصلی","PHP, WooCommerce"
"template-parts/sections/testimonials.php - نظرات مشتریان","اسلایدر یا لیست نظرات","Milestone 4: بخش‌های صفحه اصلی","PHP, Template"
"template-parts/sections/cta.php - فراخوان به اقدام","مثلاً فرم خبرنامه یا دکمه ویژه","Milestone 4: بخش‌های صفحه اصلی","PHP, Template"
"template-parts/components/product-card.php - کارت محصول","قالب کارت برای نمایش محصول در حلقه","Milestone 5: کارت‌ها و کامپوننت‌ها","PHP, WooCommerce"
"template-parts/components/service-card.php - کارت خدمات","نمایش خدمات فروشگاه","Milestone 5: کارت‌ها و کامپوننت‌ها","PHP, Template"
"template-parts/components/team-card.php - کارت اعضای تیم","برای صفحه درباره ما","Milestone 5: کارت‌ها و کامپوننت‌ها","PHP, Template"
"template-parts/components/testimonial-card.php - کارت نظرات","قالب نمایش نظر","Milestone 5: کارت‌ها و کامپوننت‌ها","PHP, Template"
"template-parts/loops/post-grid.php - شبکه نوشته‌ها","نمایش پست‌ها به صورت گرید","Milestone 6: حلقه‌ها و محتوای داخلی","PHP, Template"
"template-parts/loops/product-grid.php - شبکه محصولات","نمایش محصولات به صورت گرید (با ووکامرس)","Milestone 6: حلقه‌ها و محتوای داخلی","PHP, WooCommerce"
"template-parts/content/page.php - محتوای صفحه ایستا","محتوای page.php","Milestone 6: حلقه‌ها و محتوای داخلی","PHP, Template"
"template-parts/content/single-post.php - محتوای نوشته تکی","محتوای single.php","Milestone 6: حلقه‌ها و محتوای داخلی","PHP, Template"
"includes/classes/theme-customizer.php - کلاس سفارشی‌ساز","مدیریت پنل‌ها، بخش‌ها و کنترل‌ها","Milestone 7: سفارشی‌ساز","PHP, Customizer"
"includes/customizer.php - ثبت پنل‌ها و کنترل‌ها","فراخوانی کلاس و تنظیمات سفارشی","Milestone 7: سفارشی‌ساز","PHP, Customizer"
"includes/classes/walker-nav-menu.php - واکر منوی مگامنو","واکر سفارشی برای منوهای پیشرفته","Milestone 7: سفارشی‌ساز","PHP, Menu"
"includes/shortcodes.php - کدهای کوتاه","مثلاً [products], [services] و ...","Milestone 7: سفارشی‌ساز","PHP, Shortcode"
"templates/page-templates/full-width.php - تمام‌عرض","قالب صفحه بدون سایدبار","Milestone 8: قالب‌های صفحه","PHP, Template"
"templates/page-templates/sidebar-left.php - سایدبار چپ","قالب صفحه با سایدبار چپ","Milestone 8: قالب‌های صفحه","PHP, Template"
"templates/page-templates/landing-page.php - صفحه فرود","بدون هدر/فوتر (یا هدر/فوتر ساده)","Milestone 8: قالب‌های صفحه","PHP, Template"
"assets/css/utilities/variables.css - متغیرهای CSS","رنگ‌ها، فاصله‌ها، فونت و ...","Milestone 9: فایل‌های CSS","CSS, Utility"
"assets/css/utilities/responsive.css - کلاس‌های ریسپانسیو","مدیا کوئری‌ها و کلاس‌های hide","Milestone 9: فایل‌های CSS","CSS, Utility"
"assets/css/utilities/animations.css - انیمیشن‌های کلیدی","keyframeهای float, sheen, grain, hue, flicker و ...","Milestone 9: فایل‌های CSS","CSS, Animation"
"assets/css/components/header.css - استایل هدر","استایل‌های هدر، منو و برند","Milestone 9: فایل‌های CSS","CSS, Component"
"assets/css/components/footer.css - استایل فوتر","استایل فوتر و ویجت‌ها","Milestone 9: فایل‌های CSS","CSS, Component"
"assets/css/components/buttons.css - استایل دکمه‌ها","دکمه‌های btn-neon، btn-ghost و ...","Milestone 9: فایل‌های CSS","CSS, Component"
"assets/css/components/cards.css - استایل کارت‌ها","کارت‌های شیشه‌ای با افکت","Milestone 9: فایل‌های CSS","CSS, Component"
"assets/css/components/forms.css - استایل فرم‌ها","اینپوت‌ها، لیبل‌ها و فوکس","Milestone 9: فایل‌های CSS","CSS, Component"
"assets/css/components/modals.css - استایل مودال‌ها","مودال‌های بوت‌استرپ سفارشی","Milestone 9: فایل‌های CSS","CSS, Component"
"assets/css/pages/homepage.css - استایل صفحه اصلی","هیرو، KPI، ویدئو وال و ...","Milestone 9: فایل‌های CSS","CSS, Page"
"assets/css/pages/shop.css - استایل صفحه فروشگاه","صفحه فروشگاه ووکامرس","Milestone 9: فایل‌های CSS","CSS, Page, WooCommerce"
"assets/css/pages/product.css - استایل صفحه محصول","گالری محصول و تب‌ها","Milestone 9: فایل‌های CSS","CSS, Page, WooCommerce"
"assets/css/pages/cart.css - استایل صفحه سبد خرید","سبد خرید ووکامرس","Milestone 9: فایل‌های CSS","CSS, Page, WooCommerce"
"assets/css/pages/checkout.css - استایل صفحه تسویه حساب","صفحه پرداخت ووکامرس","Milestone 9: فایل‌های CSS","CSS, Page, WooCommerce"
"assets/css/main.css - فایل اصلی CSS","ایمپورت تمام فایل‌های بالا + استایل‌های عمومی","Milestone 9: فایل‌های CSS","CSS, Core"
"assets/css/editor.css - استایل ویرایشگر بلوکی","شبیه‌سازی ظاهر قالب در گوتنبرگ","Milestone 9: فایل‌های CSS","CSS, Editor"
"assets/js/modules/navbar.js - منوی موبایل، استیکی","کنترل اسکرول و کلاس is-scrolled","Milestone 10: فایل‌های JavaScript","JavaScript, Module"
"assets/js/modules/carousels.js - اسلایدر Swiper","راه‌اندازی اسلایدرها با افکت creative","Milestone 10: فایل‌های JavaScript","JavaScript, Module"
"assets/js/modules/modals.js - پنجره‌های مودال","باز کردن مودال با data-cs-modal","Milestone 10: فایل‌های JavaScript","JavaScript, Module"
"assets/js/modules/forms.js - اعتبارسنجی، ماسک شماره","اعتبارسنجی فیلدهای required","Milestone 10: فایل‌های JavaScript","JavaScript, Module"
"assets/js/modules/ajax.js - توابع عمومی Ajax","تابع csFetch برای درخواست‌های Ajax","Milestone 10: فایل‌های JavaScript","JavaScript, Module, Ajax"
"assets/js/pages/homepage.js - اسکریپت‌های صفحه اصلی","Lenis، SplitText، GSAP ScrollTrigger، Three.js","Milestone 10: فایل‌های JavaScript","JavaScript, Page, ThreeJS"
"assets/js/pages/product.js - گالری، تب‌ها، دکمه افزایش تعداد","کنترل کمیت محصول","Milestone 10: فایل‌های JavaScript","JavaScript, Page, WooCommerce"
"assets/js/pages/cart.js - به‌روزرسانی سبد با Ajax","آماده برای اتصال Ajax","Milestone 10: فایل‌های JavaScript","JavaScript, Page, WooCommerce"
"assets/js/main.js - فایل اصلی JS","مدیریت ماژول‌ها، کرسر مایع، مقداردهی اولیه","Milestone 10: فایل‌های JavaScript","JavaScript, Core"
"includes/woocommerce.php - پشتیبانی کامل ووکامرس","اعلان پشتیبانی، حذف استایل‌های پیش‌فرض، سفارشی‌سازی","Milestone 11: ووکامرس","PHP, WooCommerce"
"templates/woocommerce/archive-product.php - صفحه فروشگاه","قالب سفارشی فروشگاه","Milestone 11: ووکامرس","PHP, WooCommerce"
"templates/woocommerce/single-product.php - صفحه محصول","قالب سفارشی صفحه محصول","Milestone 11: ووکامرس","PHP, WooCommerce"
"templates/woocommerce/cart.php - صفحه سبد خرید","قالب سفارشی سبد خرید","Milestone 11: ووکامرس","PHP, WooCommerce"
"template-parts/content/single-product.php - محتوای صفحه محصول","جزئیات محصول (جدای از قالب اصلی)","Milestone 11: ووکامرس","PHP, WooCommerce"
"تنظیم کارت محصول (product-card.php) برای ووکامرس","اضافه کردن قیمت، دکمه افزودن به سبد و ... در product-card.php","Milestone 11: ووکامرس","PHP, WooCommerce"
"includes/classes/ajax-handler.php - کلاس مدیریت Ajax","مدیریت درخواست‌های Ajax","Milestone 12: Ajax و تعاملات پیشرفته","PHP, Ajax"
"includes/ajax.php - ثبت اکشن‌های Ajax","wp_ajax و wp_ajax_nopriv برای سبد خرید","Milestone 12: Ajax و تعاملات پیشرفته","PHP, Ajax"
"افزودن به سبد خرید با Ajax (بدون رفرش)","پیاده‌سازی افزودن محصول با Ajax","Milestone 12: Ajax و تعاملات پیشرفته","PHP, Ajax, WooCommerce"
"به‌روزرسانی سبد خرید با Ajax","آپدیت شمارنده سبد و مینی‌کارت","Milestone 12: Ajax و تعاملات پیشرفته","PHP, Ajax, WooCommerce"
"حذف محصول از سبد با Ajax","عملیات حذف با Ajax","Milestone 12: Ajax و تعاملات پیشرفته","PHP, Ajax, WooCommerce"
"includes/optimization.php - بارگذاری شرطی CSS/JS","فقط لود دارایی‌ها در صفحات لازم","Milestone 13: بهینه‌سازی و سرعت","PHP, Performance"
"حذف استایل‌های ووکامرس از صفحات غیر فروشگاهی","با استفاده از wp_dequeue_style","Milestone 13: بهینه‌سازی و سرعت","PHP, Performance, WooCommerce"
"غیرفعال کردن اموجی و امبدهای غیرضروری","حذف کدهای پیش‌فرض وردپرس","Milestone 13: بهینه‌سازی و سرعت","PHP, Performance"
"تاخیر در بارگذاری تصاویر (Lazy Load)","افزودن attribute loading=lazy","Milestone 13: بهینه‌سازی و سرعت","PHP, Performance"
"اضافه کردن فونت وزیرمتن به assets/fonts/vazirmatn/","دانلود فونت وزیرمتن و قراردادن در پوشه fonts","Milestone 14: فونت فارسی و RTL","Font, Persian"
"بارگذاری فونت در assets.php","enqueue کردن فونت وزیرمتن","Milestone 14: فونت فارسی و RTL","PHP, Font, Persian"
"ایجاد rtl.css یا استفاده از بوت‌استرپ RTL","پشتیبانی از راست‌چین","Milestone 14: فونت فارسی و RTL","CSS, RTL"
"تست و اصلاح نمایش فارسی در تمام صفحات","بررسی فونت و راست‌چین","Milestone 14: فونت فارسی و RTL","QA, Persian"
"ایجاد پوشه languages/ و فایل computer-shop.pot","آماده‌سازی برای ترجمه","Milestone 15: فایل‌های نهایی و مستندات","I18n, Documentation"
"README.md - راهنمای نصب، تنظیمات، شخصی‌سازی","مستندات کامل قالب","Milestone 15: فایل‌های نهایی و مستندات","Documentation"
